Locator,Invoice Date,Number of Tickets,Round Trip Indicator,Travel Sector,Trip Length,Booking Date,Days Advance Booking,Mileage,Cost Per Mile (USD),Total Ticket Amount (USD)
WFRHTY,5/26/2021,1,OS,Intra Country,1,5/26/2021,11,621,$0.26 ,161.09
DTLWSN,5/26/2021,1,RS,Intra Country,2,5/26/2021,145,"2,625",$0.18 ,471.16
YRNYOD,5/26/2021,1,RS,Intra Country,3,5/26/2021,30,"1,272",$0.34 ,426.6
QNCYLG,5/26/2021,1,RS,Intra Country,2,5/19/2021,22,"3,258",$0.16 ,529.4
TLTRDA,5/26/2021,1,OS,Intra Country,1,5/18/2021,37,"1,326",$0.18 ,239.47
ZHNPCQ,5/26/2021,1,RS,Intra Country,3,5/26/2021,9,"1,242",$0.26 ,322
VSADZG,5/26/2021,1,OS,Intra Country,1,5/26/2021,8,"2,584",$0.11 ,289.8
MMDIQV,5/26/2021,1,OS,Intra Country,1,5/26/2021,9,"1,201",$0.06 ,74.54
MMDIQV,5/26/2021,1,OS,Intra Country,1,5/26/2021,10,"1,201",$0.07 ,86.92
KNPUTJ,5/27/2021,0,OS,Intra Country,1,5/20/2021,15,"1,764",$0.15 ,260.84
VKIJRM,5/27/2021,1,RS,Intra Country,4,5/26/2021,29,"3,049",$0.15 ,459.54
